Chinese,English
的 ,of 
我 ,I 
你 ,you 
了 ,Got it
是 ,yes 
在 ,exist 
他 ,he 
我们 ,us 
不 ,No 
好 ,good 
什么 ,What 
有 ,have 
就 ,At once 
吧 ,Bar 
她 ,she 
这 ,this 
知道 ,Know 
说 ,explain 
都 ,All 
去 ,go 
很 ,very 
啊 ,ah 
要 ,want 
也 ,also 
他们 ,them 
和 ,and 
那 ,That 
想 ,think 
人 ,people 
会 ,meeting 
一个 ,one 
来 ,Come 
把 ,Bundle 
对 ,right 
没有 ,No 
做 ,Do 
不是 ,no 
让 ,let 
给 ,Give 
you ,you
可以 ,Can 
i ,i
你们 ,you 
呢 ,Woolen cloth 
但 ,but 
l ,l
到 ,arrive 
还 ,return 
现在 ,Now 
the ,the
这个 ,this 
能 ,able 
怎么 ,how 
就是 ,that is 
跟 ,and 
如果 ,if 
没 ,without 
它 ,it 
走 ,Walk 
上 ,superior 
得 ,have to 
被 ,quilt 
这里 ,here 
这样 ,so 
个 ,indivual 
看 ,look 
事 ,things
to ,to
自己 ,Own 
着 ,With
谁 ,who 
过 ,Pass 
不会 ,Won't 
a ,a
告诉 ,Tell 
s ,s
为什么 ,Why 
不能 ,cannot 
真的 ,real 
m ,m
先生 ,gentlemen 
只是 ,only 
不要 ,don't want 
这是 ,This is 
已经 ,already 
再 ,Again 
哦 ,oh 
需要 ,need 
it ,it
因为 ,because 
谢谢 ,Thanks 
像 ,picture 
这么 ,So
可能 ,possible 
但是 ,but 
那个 ,that 
所以 ,so 
喜欢 ,like 
又 ,again 
叫 ,Call 
快 ,quick 
我要 ,I want 
觉得 ,feel 
别 ,Don't 
听 ,listen 
找 ,try to find 
里 ,inside 
还有 ,besides 
时候 ,when 
东西 ,thing 
等 ,wait 
死 ,die 
多 ,many 
从 ,from 
我会 ,I can 
一起 ,Together 
and ,and
应该 ,should 
我們 ,we 
这些 ,These 
that ,that
t ,t
请 ,please 
孩子 ,child 
看到 ,See 
一下 ,one time 
那么 ,So 
为 ,for 
嗎 ,?
而 ,and 
of ,of
您 ,you 
才 ,talent 
用 ,use 
还是 ,still 
嗯 ,Um 
问题 ,question 
工作 ,Work 
一样 ,Same 
呀 ,ah 
开始 ,start 
吃 ,eat 
嘿 ,Hey 
当 ,when 
真 ,real 
中 ,middle 
然后 ,Then 
看看 ,have a look 
說 ,say 
地方 ,place 
一定 ,must 
将 ,Will 
希望 ,hope 
朋友 ,friend 
今天 ,today 
拿 ,take 
一 ,one 
啦 ,La
in ,in
事情 ,matter 
一直 ,Always 
所有 ,all 
we ,we
找到 ,turn up 
什麼 ,what 
哪 ,where 
当然 ,certainly 
们 ,them
回来 ,return 
不想 ,In no mood 
更 ,Even 
最 ,most 
帮 ,help 
is ,is
没事 ,fine 
只 ,Only 
那些 ,Those ones 
可 ,Can 
明白 ,clear 
的话 ,words
爸爸 ,dad 
what ,what
下 ,Down 
太 ,too 
离开 ,leave 
一切 ,everything 
时间 ,time 
相信 ,believe 
chffffff ,chffffff
妈妈 ,Mother 
想要 ,want to 
爱 ,like 
发生 ,occur 
打 ,beat 
点 ,point 
來 ,Come 
钱 ,money 
大 ,big 
起来 ,stand up 
me ,me
真是 ,Really
你好 ,Hello 
抱歉 ,Feel sorry 
必须 ,must 
认为 ,think 
一点 ,a little 
非常 ,Very 
那里 ,There 
对不起 ,sorry 
天 ,sky 
也许 ,Maybe 
大家 ,Everyone 
哪里 ,where 
有人 ,someone
该 ,Should 
意思 ,mean 
杀 ,kill 
准备 ,Prepare 
并 ,and 
出来 ,come out 
this ,this
与 ,and 
时 ,hour 
不过 ,but 
一些 ,Some 
为了 ,for 
带 ,bring 
女人 ,woman 
he ,he
pos ,pos
这儿 ,here
后 ,back 
只有 ,only 
过来 ,come over 
比 ,Compare 
一次 ,once 
得到 ,get 
и ,и
很多 ,a lot of 
on ,on
任何 ,any 
这种 ,This kind of
for ,for
小 ,Small 
怎么样 ,How about it 
對 ,right 
感觉 ,Feel 
年 ,Year 
是不是 ,Yes or no 
以为 ,Think 
fn ,fn
而且 ,and 
my ,my
your ,your
前 ,forward 
生活 ,Life 
男人 ,man 
之前 ,Before 
喂 ,Hello 
问 ,ask 
发现 ,Discover 
噢 ,oh 
可是 ,But 
快点 ,hurry up 
嗨 ,Hi 
妈 ,mom 
两个 ,two 
不用 ,Need not 
re ,re
地 ,land 
向 ,Towards 
名字 ,name 
have ,have
没错 ,That's right
was ,was
no ,no
见 ,See 
do ,do
世界 ,world 
沒 ,not 
记得 ,Remember 
住 ,live 
新 ,new 
be ,be
不错 ,good 
肯定 ,affim 
最好 ,most 
not ,not
不行 ,no 
等等 ,etc 
嘛 ,Well
出去 ,go out 
么 ,What?
先 ,First 
為 ,for 
亲爱 ,Dear
或 ,or 
can ,can
are ,are
don ,don
他們 ,them 
担心 ,Worry 
如何 ,how 
到底 ,in the end 
有点 ,A bit
最后 ,at last 
小姐 ,Miss 
上帝 ,God
认识 ,know 
know ,know
會 ,Can 
正在 ,are
那样 ,that way
父亲 ,Father 
高兴 ,Happy 
明天 ,tomorrow 
重要 ,important 
跑 ,run 
警察 ,police 
只要 ,if only 
干什么 ,what to do
好像 ,like 
再见 ,goodbye 
月 ,moon 
我能 ,i can
继续 ,continue 
出 ,out 
今晚 ,tonight 
all ,all
他妈的 ,damn it 
with ,with
回家 ,go home 
它们 ,them
多少 ,How many 
电话 ,Telephone 
听到 ,hear
干嘛 ,what 
just ,just
干 ,Dry 
but ,but
医生 ,doctor 
要是 ,If
女孩 ,girl 
so ,so
這 ,This 
所 ,Place 
